NIM,Nama,Password,Hadir,Izin,Sakit,Alpha,Persentase_Hadir
2310001,Iqbal Ramadhan,pass1,16,0,0,0,100
2310002,Ahmad Lestari,pass2,15,1,0,0,93.75
2310003,Budi Maulana,pass3,14,1,1,0,87.5
2310004,Fajar Ramadhan,pass4,13,2,0,1,81.25
2310005,Aldi Syahputra,pass5,12,1,2,1,75
2310006,Rizky Wibowo,pass6,16,0,0,0,100
2310007,Angelica Saputra,pass7,11,2,1,2,68.75
2310008,Ahmad Wijaya,pass8,14,0,1,1,87.5
2310009,Andi Maulana,pass9,10,3,1,2,62.5
2310010,Tiara Setiawan,pass10,15,1,0,0,93.75
2310011,Ahmad Syahputra,pass11,16,0,0,0,100
2310012,Andi Syahputra,pass12,15,1,0,0,93.75
2310013,Angelica Maulana,pass13,14,1,1,0,87.5
2310014,Nadya Wibowo,pass14,13,2,0,1,81.25
2310015,Aulia Pratama,pass15,12,1,2,1,75
2310016,Reza Permana,pass16,16,0,0,0,100
2310017,Yoga Siregar,pass17,11,2,1,2,68.75
2310018,Siti Lestari,pass18,14,0,1,1,87.5
2310019,Fajar Hidayat,pass19,10,3,1,2,62.5
2310020,Reza Utami,pass20,15,1,0,0,93.75
2310021,Dimas Wijaya,pass21,16,0,0,0,100
2310022,Indah Ramadhan,pass22,15,1,0,0,93.75
2310023,Putri Kusuma,pass23,14,1,1,0,87.5
2310024,Farhan Lestari,pass24,13,2,0,1,81.25
2310025,Muhammad Putra,pass25,12,1,2,1,75
2310026,Rina Ramadhan,pass26,16,0,0,0,100
2310027,Indah Wijaya,pass27,11,2,1,2,68.75
2310028,Rina Maharani,pass28,14,0,1,1,87.5
2310029,Iqbal Setiawan,pass29,10,3,1,2,62.5
2310030,Putri Wibowo,pass30,15,1,0,0,93.75
2310031,Andi Wijaya,pass31,16,0,0,0,100
2310032,Muhammad Maulana,pass32,15,1,0,0,93.75
2310033,Reza Maharani,pass33,14,1,1,0,87.5
2310034,Rizky Maulana,pass34,13,2,0,1,81.25
2310035,Dimas Purnama,pass35,12,1,2,1,75
2310036,Aulia Putra,pass36,16,0,0,0,100
2310037,Iqbal Kusuma,pass37,11,2,1,2,68.75
2310038,Bagas Kusuma,pass38,14,0,1,1,87.5
2310039,Putri Hidayat,pass39,10,3,1,2,62.5
2310040,Aldi Lestari,pass40,15,1,0,0,93.75
2310041,Yoga Wijaya,pass41,16,0,0,0,100
2310042,Farhan Permana,pass42,15,1,0,0,93.75
2310043,Rina Maulana,pass43,14,1,1,0,87.5
2310044,Bagas Putra,pass44,13,2,0,1,81.25
2310045,Indah Lestari,pass45,12,1,2,1,75
2310046,Iqbal Syahputra,pass46,16,0,0,0,100
2310047,Budi Utami,pass47,11,2,1,2,68.75
2310048,Reza Saputra,pass48,14,0,1,1,87.5
2310049,Budi Saputra,pass49,10,3,1,2,62.5
2310050,Siti Purnama,pass50,15,1,0,0,93.75
2310051,Aulia Wijaya,pass51,16,0,0,0,100
2310052,Andi Wibowo,pass52,15,1,0,0,93.75
2310053,Yoga Utami,pass53,14,1,1,0,87.5
2310054,Andi Hakim,pass54,13,2,0,1,81.25
2310055,Indah Putra,pass55,12,1,2,1,75
2310056,Fajar Lestari,pass56,16,0,0,0,100
